id,package,NC,A,I,D
335,org.apache.hadoop.fs.s3a.auth,5,0.00,0.43,0.57
336,org.apache.hadoop.fs.swift.auth.entities,5,0.00,0.33,0.67
337,org.apache.hadoop.hdds.client,5,0.00,0.07,0.93
338,org.apache.hadoop.hdds.scm.cli.container,5,0.00,0.83,0.17
339,org.apache.hadoop.hdds.scm.container.common.helpers,5,0.00,0.16,0.84
340,org.apache.hadoop.hdfs.qjournal.protocol,5,0.40,0.33,0.27
341,org.apache.hadoop.hdfs.server.common.sps,5,0.20,0.83,0.03
342,org.apache.hadoop.hdfs.server.datanode.web.webhdfs,5,0.00,0.71,0.29
343,org.apache.hadoop.io.erasurecode.codec,5,0.20,0.83,0.03
344,org.apache.hadoop.lib.server,5,0.40,0.45,0.15
345,org.apache.hadoop.lib.service,5,0.80,0.33,0.13
346,org.apache.hadoop.mapreduce.lib.chain,5,0.00,0.62,0.38
347,org.apache.hadoop.mapreduce.lib.map,5,0.00,0.56,0.44
348,org.apache.hadoop.mapreduce.task,5,0.20,0.28,0.52
349,org.apache.hadoop.mapreduce.v2.app.job.impl,5,0.40,0.56,0.04
350,org.apache.hadoop.mapreduce.v2.hs.webapp.dao,5,0.00,0.25,0.75
351,org.apache.hadoop.mapreduce.v2.util,5,0.00,0.08,0.92
352,org.apache.hadoop.metrics2.sink,5,0.00,1.00,0.00
353,org.apache.hadoop.metrics2.sink.ganglia,5,0.20,0.67,0.13
354,org.apache.hadoop.ozone.client.io,5,0.00,0.16,0.84
355,org.apache.hadoop.ozone.client.rest,5,0.20,0.17,0.63
356,org.apache.hadoop.ozone.common,5,0.20,0.19,0.61
357,org.apache.hadoop.ozone.container.common.statemachine.commandhandler,5,0.20,1.00,0.20
358,org.apache.hadoop.ozone.container.keyvalue,5,0.00,0.24,0.76
359,org.apache.hadoop.ozone.container.keyvalue.helpers,5,0.00,0.38,0.62
360,org.apache.hadoop.portmap,5,0.00,0.62,0.38
361,org.apache.hadoop.registry.client.types,5,0.40,0.19,0.41
362,org.apache.hadoop.registry.server.services,5,0.20,0.83,0.03
363,org.apache.hadoop.security.ssl,5,0.40,0.31,0.29
364,org.apache.hadoop.security.token.delegation,5,0.40,0.09,0.51
365,org.apache.hadoop.yarn,5,0.00,0.22,0.78
366,org.apache.hadoop.yarn.api.impl.pb.client,5,0.00,1.00,0.00
367,org.apache.hadoop.yarn.api.impl.pb.service,5,0.00,0.83,0.17
